,hotel_url,name,description,review,stars,coord_lat,coord_lon
10,https://www.booking.com/hotel/fr/la-chambre-vert.fr.html,La chambre vert,"L'établissement La chambre vert est situé à Amiens, à 4 km du Zénith d'Amiens, à 600 mètres du parc des jardins flottants et à moins de 1 km du musée Berny. Vous bénéficierez gratuitement d'une connexion Wi-Fi et d'un parking sur place. Cet établissement non-fumeurs se trouve à 600 mètres de la gare d'Amiens.  Ce Bed & Breakfast est équipé d'une télévision à écran plat. Les serviettes et le linge de lit sont fournis.  Vous séjournerez à moins de 1 km du tribunal de grande instance d'Amiens et à 4,7 km de l'université de Picardie Jules Verne. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 65 km.",7.5,,49.8935466,2.3113393
11,https://www.booking.com/hotel/fr/city-loft.fr.html,City Loft Apparthotel,"Idéalement situé au coeur du quartier piétonnier, le City Loft Apparthotel se trouve près du palais des ducs.  Anciennement connu comme le magasin Au Pauvre Diable, le bâtiment possède 53 appartements joliment meublés, allant d'appartements simples à des appartements quadruples. Chaque appartement est équipé de la climatisation, d'une kitchenette complète avec plaques de cuisson, réfrigérateur et micro-ondes, d'un coffre-fort et d'une télévision.  Pendant votre séjour à Dijon, prenez le temps de découvrir les célèbres produits de la ville, tels que la moutarde, le pain d'épice et la crème de cassis. La ville compte également un auditorium et une université réputée.",8.1,,47.32268695,5.03817558
12,https://www.booking.com/hotel/fr/les-chambres-du-beau-regard.fr.html,Les Chambres du Beau Regard,"Offrant une vue sur son jardin, l'établissement Les Chambres du Beau Regard est situé à Villé, à 22 km du château du Haut Koenigsbourg et à 33 km de Colmar Expo. Cette chambre d'hôtes met gratuitement à votre disposition un parking privé, une cuisine commune et une connexion Wi-Fi. Vous pourrez vous asseoir à l'extérieur et profiter du parc de l'établissement.  Offrant une vue sur la montagne, cette chambre d'hôtes comprend une terrasse, un coin salon, une télévision à écran plat, une kitchenette entièrement équipée avec un micro-ondes et un réfrigérateur ainsi qu'une salle de bains privative pourvue d'une douche à l'italienne et d'un sèche-cheveux. Le linge de lit et les serviettes sont fournis.  Le petit-déjeuner continental se compose d'une sélection de spécialités locales, de viennoiseries fraîches et de fruits. Vous trouverez un café et un salon.  Si vous voyagez avec des enfants, ce Bed & Breakfast dispose d'équipements de jeux extérieurs. Un service de location de vélos est assuré sur place. La région est prisée pour pratiquer la randonnée.  Vous séjournerez à 35 km du musée Würth et à 36 km de la Maison des Têtes. L'aéroport international de Strasbourg, le plus proche, est implanté à 39 km.",9.4,3.0,48.34467593,7.30561306
13,https://www.booking.com/hotel/fr/riquewihr-magnifique-appartement-de-120-m2.fr.html,"Villa Maeva - Parking, Sauna & Fitness","En plein milieu du vignoble alsacien, et située à 2mn à pied du principal accès à la vieille ville de Riquewihr, la Villa Maeva prend place au sein d'une maison bourgeoise construite à la fin du 19ème siècle.  Vous pourrez choisir entre 2 logements indépendants classés 4 étoiles conçues pour offrir un très bon niveau de confort. Les appartements disposent de lits king size de grande qualité, de parkings privés avec porté de recharge pour véhicules électriques, d'une terrasse extérieure. L'établissement dispose d'un grand sauna finlandais privatisable et d'une salle de fitness.  Situé à Riquewihr, l'un des villages les plus connus d'Alsace et probablement le plus visité, la Villa Maeva a forgé sa réputation grâce à ses équipements de haute qualité, son emplacement central, son parking extérieur et l'accueil chaleureux des propriétaires.",9.4,,48.166004,7.300942
14,https://www.booking.com/hotel/fr/aparthotel-adagio-access-dijon-republique.fr.html,Aparthotel Adagio Access Dijon République,"Situé dans le centre-ville de Dijon, à seulement 3 minutes à pied de la place de la République, l'Aparthotel Adagio Access Dijon République propose une réception ouverte 24h/24 et une connexion Wi-Fi gratuite dans l'ensemble de ses locaux. Le musée des Beaux-Arts est à 15 minutes à pied.  Climatisées, tous les hébergements disposent d'une pièce à vivre avec une télévision, d'un bureau et d'une salle de bains munie d'un sèche-cheveux. Leur cuisine entièrement équipée possède un micro-ondes, des plaques de cuisson et un réfrigérateur.  Vous pourrez préparer des repas faits maison dans le studio ou l'appartement. Un petit-déjeuner buffet est servi chaque matin dans la salle prévue à cet effet de l'établissement, tandis que les enfants de 4 à 11 ans profiteront de tarifs réduits. Vous trouverez des épiceries et des restaurants à quelques minutes à pied.  Classé bâtiment respectueux de l'environnement en raison de son toit photovoltaïque, l'appart'hôtel est facilement accessible en transports en commun. Le tramway et le bus L3 assurent un accès direct à la gare de Dijon, qui est à 500 mètres du parc des expositions de Dijon Congrexpo. Vous pourrez utiliser le parking privé sur place, moyennant des frais supplémentaires.",8.3,,47.325526,5.0494804
15,https://www.booking.com/hotel/fr/sejours-affaires-annecy-le-pont-neuf.fr.html,Séjours & Affaires Annecy Le Pont Neuf,"L'établissement Séjours & Affaires Annecy Le Pont Neuf se situe à 3 km du lac d'Annecy et à 1 km du centre-ville historique. Il se trouve à 45 minutes de route des domaines skiables de La Clusaz et du Grand Bornand.  Les appartements, confortables et pourvus d'une connexion Wi-Fi gratuite et d'équipements modernes, offrent un cadre idéal pour les séjours de courte ou de longue durée. Le petit-déjeuner buffet est servi du lundi au vendredi, moyennant un supplément.  Le Séjours & Affaires Annecy Le Pont Neuf se trouve à Cran-Gevrier, à proximité de commerces, restaurants et transports en commun.  La gare d'Annecy se trouve à 15 minutes à pied. Un parking est proposé moyennant un supplément. Le domaine skiable du Semnoz se situe à 30 minutes de route.",7.6,,45.89719347,6.11080974
16,https://www.booking.com/hotel/fr/le-bon-quai.fr.html,Le Bon Quai,"Doté d'une terrasse, l'établissement Le Bon Quai est situé à Grenoble, à seulement 1,1 km du WTC et à 1,6 km de la Bastille. Il est situé à 5,9 km d'AlpExpo et dispose d'un ascenseur. L'établissement se trouve à 800 mètres de la gare de Grenoble et à moins de 600 mètres du centre-ville.  Doté d'une connexion Wi-Fi gratuite, cet appartement 1 chambre dispose d'une télévision à écran plat, d'un lave-linge et d'une cuisine entièrement équipée avec un four et un micro-ondes. Les serviettes et le linge de lit sont fournis. Cet établissement est non-fumeurs.  En été, vous pourrez pratiquer des sports d'hiver dans les environs.  Vous séjournerez à 2,7 km du stade des Alpes et à 6,1 km du Summum. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 45 km.",9.2,3.0,45.19393586,5.72086807
17,https://www.booking.com/hotel/fr/victoria-grenoble.fr.html,Hôtel Victoria,"Idéalement situé dans le centre de Grenoble, l'Hôtel Victoria met gratuitement à votre disposition une connexion Wi-Fi dans l'ensemble de ses locaux et un parking privé. Vous séjournerez à 1,2 km du WTC Grenoble, à 5,2 km de l'AlpExpo et à 1,8 km du stade des Alpes. Cet établissement non-fumeurs se trouve à moins de 1 km de la gare de Grenoble.  Les chambres comprennent une armoire. La salle de bains privative est pourvue d'une douche et d'articles de toilette gratuits. Les chambres de l'Hôtel Victoria sont équipées d'une télévision par câble à écran plat.  Vous séjournerez à 4,7 km de la Bastille de Grenoble et à 5,4 km du Summum. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 46 km.",8.5,,45.187494,5.721472
18,https://www.booking.com/hotel/fr/cowool-grenoble.fr.html,COWOOL GRENOBLE,"Situé à Grenoble, à 500 mètres d'AlpExpo, le COWOOL GRENOBLE est un établissement récemment rénové proposant des chambres climatisées avec connexion Wi-Fi gratuite et parking privé. Il possède un ascenseur et une terrasse bien exposée. Cet appart'hôtel propose des chambres familiales et des équipements pour les personnes à mobilité réduite.  Tous les logements comprennent un coin salon, une télévision, un lave-linge ainsi qu'une salle de bains privative pourvue d'une baignoire et d'un sèche-cheveux. Un réfrigérateur, des plaques de cuisson, des ustensiles de cuisine et une machine à café sont également fournis. Le linge de lit et les serviettes de toilette sont fournis.  Vous trouverez un café sur place et des paniers-repas sont également disponibles. En été, vous pourrez pratiquer des sports d'hiver dans les environs.  Des cours de remise en forme sont dispensés sur place. Cet appart'hôtel assure un service de location de vélos.  Le COWOOL GRENOBLE se trouve à 5,2 km de la gare de Grenoble et à 6,6 km du WTC Grenoble. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 50 km.",7.8,3.0,45.1586663,5.734091
19,https://www.booking.com/hotel/fr/le-petit-cosy-grenoble.fr.html,Le petit Cosy,"Situé à 1,8 km de la gare de Grenoble, à 2,9 km du WTC Grenoble et à 4,5 km d'AlpExpo, Le petit Cosy propose un hébergement à Grenoble. Il se trouve à environ 1 km du stade des Alpes, à 4,7 km du Summum et à 4,9 km de la Bastille de Grenoble.  Cet établissement est non-fumeurs.  En été, vous pourrez pratiquer des sports d'hiver dans les environs.  Le col de Parménie se trouve à 35 km. L'aéroport le plus proche, celui des Alpes-Isère, est situé à 48 km.",10.0,,45.1827346,5.7306284
